"3D unfold","3D unfold"
"<a href="http://developer.linkedin.com" target="_blank">Signup</a>","<a href="http://developer.linkedin.com" target="_blank">Signup</a>"
"<a href="http://developers.facebook.com/" target="_blank">Signup</a>","<a href="http://developers.facebook.com/" target="_blank">Signup</a>"
"<a href="http://twitter.com/apps/new" target="_blank">Signup</a>","<a href="http://twitter.com/apps/new" target="_blank">Signup</a>"
"<a href="https://console.cloud.google.com" target="_blank">Signup</a>","<a href="https://console.cloud.google.com" target="_blank">Signup</a>"
"<a href="https://www.instagram.com/developer/register/" target="_blank">Signup</a>","<a href="https://www.instagram.com/developer/register/" target="_blank">Signup</a>"
"Add CSS selectors","Add CSS selectors"
"Add custom CSS, it will be generated to a specific file and add to site header.","Add custom CSS, it will be generated to a specific file and add to site header."
"Address Information","Address Information"
"Allow Add jQuery Library","Allow Add jQuery Library"
"Back","Back"
"Black","Black"
"Blue","Blue"
"Callback URL","Callback URL"
"Cannot save the customer.","Cannot save the customer."
"City","City"
"Client ID","Client ID"
"Client Secret","Client Secret"
"Company","Company"
"Confirm Password","Confirm Password"
"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
"Country","Country"
"Create New Account?","Create New Account?"
"Create an Account","Create an Account"
"Custom","Custom"
"Custom CSS","Custom CSS"
"Custom color","Custom color"
"Dark Blue","Dark Blue"
"Default","Default"
"Email","Email"
"Email Address","Email Address"
"Enable","Enable"
"Enable/Disable Social Login","Enable/Disable Social Login"
"Error Data.","Error Data."
"Facebook App ID","Facebook App ID"
"Facebook App Secret","Facebook App Secret"
"Facebook Login","Facebook Login"
"Facebook Sign In","Facebook Sign In"
"Failed generating CSS file: %s in %s","Failed generating CSS file: %s in %s"
"Forgot Password","Forgot Password"
"Forgot Your Password?","Forgot Your Password?"
"General Settings","General Settings"
"Go back","Go back"
"Google Login","Google Login"
"Google Sign In","Google Sign In"
"Green","Green"
"Header Link Selectors","Header Link Selectors"
"Hex color","Hex color"
"Horizontal move","Horizontal move"
"If there is an account associated with the email you will receive an email with a link to reset your password.","If there is an account associated with the email you will receive an email with a link to reset your password."
"Incorrect CAPTCHA.","Incorrect CAPTCHA."
"Instagram Login","Instagram Login"
"Instagram Sign In","Instagram Sign In"
"Invalid email address.","Invalid email address."
"LinkedIn Login","LinkedIn Login"
"Linkedin Sign In","Linkedin Sign In"
"Login","Login"
"Login By Facebook","Login By Facebook"
"Login By Google","Login By Google"
"Login By Instagram","Login By Instagram"
"Login By Linkedin","Login By Linkedin"
"Login By Twitter","Login By Twitter"
"Login Information","Login Information"
"Login and password are required.","Login and password are required."
"Login form popup effects.","Login form popup effects."
"Login successfully. Please wait ...","Login successfully. Please wait ..."
"MageCheckout Extensions","MageCheckout Extensions"
"Main Style Color","Main Style Color"
"Move from top","Move from top"
"Newspaper","Newspaper"
"No, if your website frontend has ready jQuery. Yes, if it has.","No, if your website frontend has ready jQuery. Yes, if it has."
"Or Sign In With","Or Sign In With"
"Orange","Orange"
"Password","Password"
"Personal Information","Personal Information"
"Pink","Pink"
"Please enter your email address below to receive a password reset link.","Please enter your email address below to receive a password reset link."
"Please enter your email.","Please enter your email."
"Please select region, state or province","Please select region, state or province"
"Popup Effect","Popup Effect"
"REDIRECT URIS","REDIRECT URIS"
"Red","Red"
"Registered Customers","Registered Customers"
"Select color for Login Form ","Select color for Login Form "
"Send password","Send password"
"Sign In","Sign In"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Social Login","Social Login"
"State/Province","State/Province"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Submit","Submit"
"Telephone","Telephone"
"Thank you for registering with %s.","Thank you for registering with %s."
"Twitter Login","Twitter Login"
"Twitter Sign In","Twitter Sign In"
"Valid OAuth redirects URIs","Valid OAuth redirects URIs"
"Violet","Violet"
"Zip/Postal Code","Zip/Postal Code"
"Zoom","Zoom"
"Zoom-out","Zoom-out"
